#SampleID	Date	Week	Year	Location	Tissue	Replicate	Sample_or_Control	Run	Product	Stage	Fortnight	Name	SiteYear
Sample165	6.10.21	6	2021	PLP	Stem	3	True Sample	Run2	Stem	Set	3	6-10-21-SP-3	PLP21
Sample166	6.10.21	6	2021	PLP	Stem	4	True Sample	Run2	Stem	Set	3	6-10-21-SP-4	PLP21
Sample167	6.15.20	7	2020	SWMREC	Coloring	1	True Sample	Run1	Fruit	Coloring	4	6-15-20-CM-1	SWMREC
Sample168	6.15.20	7	2020	SWMREC	Coloring	2	True Sample	Run1	Fruit	Coloring	4	6-15-20-CM-2	SWMREC
Sample169	6.15.20	7	2020	SWMREC	Coloring	3	True Sample	Run1	Fruit	Coloring	4	6-15-20-CM-3	SWMREC
Sample170	6.15.20	7	2020	SWMREC	Coloring	4	True Sample	Run1	Fruit	Coloring	4	6-15-20-CM-4	SWMREC
Sample171	6.15.20	7	2020	SWMREC	Green	1	True Sample	Run1	Fruit	Coloring	4	6-15-20-GM-1	SWMREC
Sample172	6.15.20	7	2020	SWMREC	Green	2	True Sample	Run1	Fruit	Coloring	4	6-15-20-GM-2	SWMREC
Sample173	6.15.20	7	2020	SWMREC	Green	3	True Sample	Run1	Fruit	Coloring	4	6-15-20-GM-3	SWMREC
Sample174	6.15.20	7	2020	SWMREC	Green	4	True Sample	Run1	Fruit	Coloring	4	6-15-20-GM-4	SWMREC
Sample175	6.15.20	7	2020	SWMREC	Leaf	1	True Sample	Run2	Leaf	Coloring	4	6-15-20-LM-1	SWMREC
Sample176	6.15.20	7	2020	SWMREC	Leaf	2	True Sample	Run2	Leaf	Coloring	4	6-15-20-LM-2	SWMREC
Sample177	6.15.20	7	2020	SWMREC	Leaf	3	True Sample	Run2	Leaf	Coloring	4	6-15-20-LM-3	SWMREC
Sample178	6.15.20	7	2020	SWMREC	Leaf	4	True Sample	Run2	Leaf	Coloring	4	6-15-20-LM-4	SWMREC
Sample179	6.15.20	7	2020	SWMREC	Stem	1	True Sample	Run2	Stem	Coloring	4	6-15-20-SM-1	SWMREC
Sample180	6.15.20	7	2020	SWMREC	Stem	2	True Sample	Run2	Stem	Coloring	4	6-15-20-SM-2	SWMREC
Sample181	6.15.20	7	2020	SWMREC	Stem	3	True Sample	Run2	Stem	Coloring	4	6-15-20-SM-3	SWMREC
Sample182	6.15.20	7	2020	SWMREC	Stem	4	True Sample	Run2	Stem	Coloring	4	6-15-20-SM-4	SWMREC
Sample183	6.17.21	7	2021	PLP	Coloring	1	True Sample	Run2	Fruit	Coloring	4	6-17-21-CP-1	PLP21
Sample184	6.17.21	7	2021	PLP	Coloring	2	True Sample	Run2	Fruit	Coloring	4	6-17-21-CP-2	PLP21
Sample185	6.17.21	7	2021	PLP	Coloring	3	True Sample	Run2	Fruit	Coloring	4	6-17-21-CP-3	PLP21
