OTU,Kingdom,Phylum,Class,Order,Family,Genus,primary_lifestyle,Secondary_lifestyle,Endophytic_interaction_capability_template,Decay_substrate_template,Aquatic_habitat_template,Growth_form_template,Fruitbody_type_template,Hymenium_type_template
OTU_385,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_395,Fungi,Basidiomycota,Malasseziomycetes,Malasseziales,Malasseziaceae,Malassezia,soil_saprotroph,root-associated,root-associated,"roots,soil",partly_aquatic,yeast,none,none
OTU_403,Fungi,Basidiomycota,Cystobasidiomycetes,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_404,Fungi,Basidiomycota,Tremellomycetes,Tremellales,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_405,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,unspecified_saprotroph,0,0,unspecified,non-aquatic,dimorphic_yeast,0,0
OTU_406,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Perenniporia,wood_saprotroph,0,0,wood,non-aquatic,filamentous_mycelium,polyporoid,poroid
OTU_417,Fungi,Basidiomycota,Exobasidiomycetes,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_418,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,Saitozyma,soil_saprotroph,0,0,soil,non-aquatic,yeast,0,0
OTU_420,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Teunia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_426,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,unspecified_saprotroph,0,0,unspecified,non-aquatic,dimorphic_yeast,0,0
OTU_429,Fungi,Basidiomycota,Agaricomycetes,Corticiales,Corticiaceae,Limonomyces,plant_pathogen,wood_saprotroph,0,wood,non-aquatic,filamentous_mycelium,corticioid,smooth
OTU_431,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Melampsoraceae,Melampsora,plant_pathogen,plant_pathogen,no_endophytic_capacity,0,non-aquatic,filamentous_mycelium,rust,other
OTU_435,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Teunia,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
OTU_439,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Oxyporus,wood_saprotroph,0,0,wood,non-aquatic,filamentous_mycelium,polyporoid,poroid
OTU_448,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Naganishia,unspecified_saprotroph,0,0,unspecified,partly_aquatic,yeast,0,0
OTU_450,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Sirobasidiaceae,Fibulobasidium,wood_saprotroph,0,0,wood,non-aquatic,dimorphic_yeast,0,0
